,Title,Author,ISBN Valid,Publisher,Subjects,i,titles_cleaned,subjects_cleaned,authors_cleaned,concepts
13430,Campbell biologie /,,9782766104031; 2766104038,Pearson; ERPI,Biologie; Manuels d'enseignement; Biology; Textbook,13430,Campbell biologie,biologie manuels denseignement biology textbook,,Campbell biologie  biologie manuels denseignement biology textbook
13431,Fundamentum de mathématique /,,2829300866; 9782829300868,Ed du Tricorne,algèbre linéaire--[manuel],13431,Fundamentum de mathématique,algèbre linéaire--manuel,,Fundamentum de mathématique  algèbre linéaire--manuel
13432,La motivation en contexte scolaire /,"Viau, Rolland",2804143295; 9782804143299,De Boeck Université,élève--enseignement--motivation; apprentissage (psychologie)--élève--motivation,13432,La motivation en contexte scolaire,élève--enseignement--motivation apprentissage psychologie--élève--motivation,viau rolland,La motivation en contexte scolaire viau rolland élève--enseignement--motivation apprentissage psychologie--élève--motivation
13433,La motivation scolaire : comment susciter le désir d'apprendre ? /,"Vianin, Pierre",9782804156138; 2804156133,De Boeck,Motivation (psychologie); Éducation; Motivation en éducation; Milieu scolaire,13433,La motivation scolaire : comment susciter le désir d'apprendre ?,motivation psychologie éducation milieu scolaire,vianin pierre,La motivation scolaire : comment susciter le désir d'apprendre ? vianin pierre motivation psychologie éducation milieu scolaire
13434,Une nuit à Rome /,"Jim, 1966-",9782818909706; 2818909708; 9782818925379; 2818925371; 9782818944783; 2818944783; 9782818974995; 2818974992,Bamboo,Bandes dessinées,13434,Une nuit à Rome,bandes dessinées,jim -,Une nuit à Rome jim - bandes dessinées
13435,Une femme /,"Ernaux, Annie",2070382117; 9782070382118,Gallimard,,13435,Une femme,,ernaux annie,Une femme ernaux annie 
13436,Fungirl /,"Pich, Elizabeth 1989-....",9782849613139; 2849613134,Les requins marteaux,Insolence.; Non-conformisme.; Bandes dessinées humoristiques.; Romans graphiques.,13436,Fungirl,insolence non-conformisme bandes dessinées humoristiques romans graphiques,pich elizabeth -,Fungirl pich elizabeth - insolence non-conformisme bandes dessinées humoristiques romans graphiques
13437,"Rhumatismes et douleurs articulaires : Causes et mécanismes, traitements adaptés /","Dervaux, Jean-Loup",9.79102E+12,Ellebore,Rhumatologie; Arthralgie; Malades chroniques--Thérapeutique; Inflammation; Rhumatisme,13437,"Rhumatismes et douleurs articulaires : Causes et mécanismes, traitements adaptés",rhumatologie arthralgie malades chroniques--thérapeutique inflammation rhumatisme,dervaux jean-loup,"Rhumatismes et douleurs articulaires : Causes et mécanismes, traitements adaptés dervaux jean-loup rhumatologie arthralgie malades chroniques--thérapeutique inflammation rhumatisme"
13438,La norme gynécologique : ce que la médecine fait au corps des femmes /,"Koechlin, Aurore 1988-....",9782354802530; 2354802536,Editions Amsterdam,Gynécologie--Psychologie; Gynécologie--Sociologie; Obstétrique--Psychologie; Obstétrique--Sociologie; Violences gynécologiques et obstétricales; Relations médecin-patient; Inégalités sociales de santé; Enquêtes de terrain (ethnologie); Gynecology--standards; Physician-Patient Relations; Professional-Patient Relations; Sexism; Stereotyping; Women's Health; Gynécologie.; Gynécologues.; Relations médecin-patient.,13438,La norme gynécologique : ce que la médecine fait au corps des femmes,gynécologie--psychologie gynécologie--sociologie obstétrique--psychologie obstétrique--sociologie violences gynécologiques obstétricales relations médecin-patient inégalités sociales santé enquêtes terrain ethnologie gynecology--standards physician-patient professional-patient sexism stereotyping womens health gynécologie gynécologues médecin-patient,koechlin aurore -,La norme gynécologique : ce que la médecine fait au corps des femmes koechlin aurore - gynécologie--psychologie gynécologie--sociologie obstétrique--psychologie obstétrique--sociologie violences gynécologiques obstétricales relations médecin-patient inégalités sociales santé enquêtes terrain ethnologie gynecology--standards physician-patient professional-patient sexism stereotyping womens health gynécologie gynécologues médecin-patient
13439,Nelson Textbook of pediatrics /,,9780323529501; 032352950X,Elsevier,Pediatrics; Textbook,13439,Nelson Textbook of pediatrics,pediatrics textbook,,Nelson Textbook of pediatrics  pediatrics textbook
13440,Imagerie médicale pratique /,"Margerie-Mellon, Constance de",9782311660708; 2311660705,Vuibert,Diagnostic Imaging; Signs and Symptoms; Imagerie médicale; Imagerie pour le diagnostic; Sémiologie (radiologie); Textbook,13440,Imagerie médicale pratique,diagnostic imaging signs and symptoms imagerie médicale sémiologie radiologie textbook,margerie-mellon constance,Imagerie médicale pratique margerie-mellon constance diagnostic imaging signs and symptoms imagerie médicale sémiologie radiologie textbook
13441,L'examen neurologique facile /,"Fuller, Geraint",9782294773211; 2294773217,Elsevier Masson,Neurologie; Examens médicaux; Neurology; Nervous System; Physical Examination; Neurologic Examination; Guides pratiques,13441,L'examen neurologique facile,neurologie examens médicaux neurology nervous system physical examination neurologic guides pratiques,fuller geraint,L'examen neurologique facile fuller geraint neurologie examens médicaux neurology nervous system physical examination neurologic guides pratiques
13442,Beschränkung der Vertragshaftung durch Vereinbarung /,"Buol, Martina",,Schulthess Polygraphischer Verl,responsabilité contractuelle - limitation--Suisse,13442,Beschränkung der Vertragshaftung durch Vereinbarung,responsabilité contractuelle - limitation--suisse,buol martina,Beschränkung der Vertragshaftung durch Vereinbarung buol martina responsabilité contractuelle - limitation--suisse
13443,Vertragliche Haftungsbeschränkungen im schweizerischen Kaufrecht : unter besonderer Darstellung von Haftungsbeschränkungsklauseln in allgemeinen Geschäftsbedingungen /,"Lörtscher, Thomas",,Schulthess Polygraphischer Verlag,Kauf; allgemeine Vertragsbedingungen; Wegbedingung der Haftung; Schweiz,13443,Vertragliche Haftungsbeschränkungen im schweizerischen Kaufrecht : unter besonderer Darstellung von Haftungsbeschränkungsklauseln in allgemeinen Geschäftsbedingungen,kauf allgemeine vertragsbedingungen wegbedingung der haftung schweiz,lörtscher thomas,Vertragliche Haftungsbeschränkungen im schweizerischen Kaufrecht : unter besonderer Darstellung von Haftungsbeschränkungsklauseln in allgemeinen Geschäftsbedingungen lörtscher thomas kauf allgemeine vertragsbedingungen wegbedingung der haftung schweiz
13444,Die Haftung für Erfüllungsgehilfen /,"Spiro, Karl",3727297018; 9783727297014,Stämpfli,responsabilité de l'employeur--Suisse; Obligation(Schuldverhältnis); Erfüllung der Obligation; Hilfspersonenhaftung(Vertragshaftung); Privatrecht; Haftpflichtversicherung; privatrechtliche Haftung; Staatshaftung,13444,Die Haftung für Erfüllungsgehilfen,responsabilité lemployeur--suisse obligationschuldverhältnis erfüllung der obligation hilfspersonenhaftungvertragshaftung privatrecht haftpflichtversicherung privatrechtliche haftung staatshaftung,spiro karl,Die Haftung für Erfüllungsgehilfen spiro karl responsabilité lemployeur--suisse obligationschuldverhältnis erfüllung der obligation hilfspersonenhaftungvertragshaftung privatrecht haftpflichtversicherung privatrechtliche haftung staatshaftung
13445,L'esprit des lois /,"Montesquieu, Charles-Louis de Secondat de",9782812402432; 2812402431; 9782812402449; 281240244X,Classiques Garnier,,13445,L'esprit des lois,,montesquieu charles-louis secondat,L'esprit des lois montesquieu charles-louis secondat 
13446,Considérations sur les principaux événements de la Révolution française /,"Staël, Anne-Louise-Germaine de",2745347446; 9782745347442,H Champion,"Staël-Holstein, Germaine de (1766-1817).--Considérations sur les principaux évènements de la Révolution française.; Staël-Holstein, Germaine de,--(1766-1817)--Pensée politique et sociale; Staël-Holstein, Germaine de,--(1766-1817)--Et la Révolution française; Necker, Jacques,--(1732-1804); France--1789-1799 (Révolution)--Sources",13446,Considérations sur les principaux événements de la Révolution française,staël-holstein germaine ---considérations principaux évènements révolution française -----pensée politique sociale -----et révolution française necker jacques --- france--- révolution--sources,staël anne-louise-germaine,Considérations sur les principaux événements de la Révolution française staël anne-louise-germaine staël-holstein germaine ---considérations principaux évènements révolution française -----pensée politique sociale -----et révolution française necker jacques --- france--- révolution--sources
13447,"De la religion, considérée dans sa source, ses formes et ses développements /","Constant de Rebecque, Benjamin de 1767-1830",9783110307795; 3110307790; 3484504188; 9783484504189; 9783110334906; 3110334909; 9783110519051; 3110519054; 9783110672541; 3110672545,M Niemeyer,,13447,"De la religion, considérée dans sa source, ses formes et ses développements",,constant rebecque benjamin -,"De la religion, considérée dans sa source, ses formes et ses développements constant rebecque benjamin - "
13448,Progrès et perfectibilité : un dilemme des Lumières françaises (1755-1814) /,"Lotterie, Florence",0729408760; 9780729408769,Voltaire Foundation,philosophie--France--1755 / 1814; discours (philosophie)--progrès--France--1755 / 1814,13448,Progrès et perfectibilité : un dilemme des Lumières françaises (1755-1814),philosophie--france-- discours philosophie--progrès--france--,lotterie florence,Progrès et perfectibilité : un dilemme des Lumières françaises (1755-1814) lotterie florence philosophie--france-- discours philosophie--progrès--france--
13449,Le salon de Madame Necker d'après des documents tirés des archives de Coppet /,"Haussonville, Gabriel-Paul-Othenin d', 1843-1924",,,,13449,Le salon de Madame Necker d'après des documents tirés des archives de Coppet,,haussonville gabriel-paul-othenin -,Le salon de Madame Necker d'après des documents tirés des archives de Coppet haussonville gabriel-paul-othenin - 
13450,Manuel suisse d'audit /,,9783908159674; 3908159679; 9783908159681; 3908159687; 9783908159698; 3908159695; 9783908159704; 3908159709,Chambre fiduciaire,comptabilité - contrôle--compte consolidé--Suisse--[manuel]; audit--gestion financière--Suisse--[manuel]; Wirtschaftsprüfung; Buchhaltung; Anhang(Erfolgsrechnung); Bilanz(allgemein); Erfolgsrechnung; Gründung der Gesellschaft; Kapitalerhöhung; Kapitalherabsetzung; Sitzverlegung; Fusion; Versicherung; Versicherer; berufliche Vorsorge; Vorsorgeeinrichtung; Verwaltungsbehörde; Schweiz; Grundlagenwerk,13450,Manuel suisse d'audit,comptabilité - contrôle--compte consolidé--suisse--manuel audit--gestion financière--suisse--manuel wirtschaftsprüfung buchhaltung anhangerfolgsrechnung bilanzallgemein erfolgsrechnung gründung der gesellschaft kapitalerhöhung kapitalherabsetzung sitzverlegung fusion versicherung versicherer berufliche vorsorge vorsorgeeinrichtung verwaltungsbehörde schweiz grundlagenwerk,,Manuel suisse d'audit  comptabilité - contrôle--compte consolidé--suisse--manuel audit--gestion financière--suisse--manuel wirtschaftsprüfung buchhaltung anhangerfolgsrechnung bilanzallgemein erfolgsrechnung gründung der gesellschaft kapitalerhöhung kapitalherabsetzung sitzverlegung fusion versicherung versicherer berufliche vorsorge vorsorgeeinrichtung verwaltungsbehörde schweiz grundlagenwerk
13451,"Les lettres rugueuses : 26 lettres à toucher, 26 cartes à associer /","Poussin, Charlotte",9782212556773; 2212556772,Eyrolles,Lecture--Étude et enseignement (primaire); Communication écrite--Étude et enseignement (primaire); Toucher--Étude et enseignement (primaire); Langage--Étude et enseignement (primaire); Méthode Montessori,13451,"Les lettres rugueuses : 26 lettres à toucher, 26 cartes à associer",lecture--étude enseignement primaire communication écrite--étude toucher--étude langage--étude méthode montessori,poussin charlotte,"Les lettres rugueuses : 26 lettres à toucher, 26 cartes à associer poussin charlotte lecture--étude enseignement primaire communication écrite--étude toucher--étude langage--étude méthode montessori"
